city,sqft,bedrooms,bathrooms,lot_size_acres,year_built,age_years,school_rating,distance_from_center_miles,property_tax_rate,price,price_per_sqft,zip_code,metro,listing_date
Houston,1427,3,2.5,0.064,1984,40,5.7,27.0,0.0234,197408,138.34,77024,Houston-The Woodlands-Sugar Land,2023-08-09
Dallas,2097,5,3.5,0.17,2019,5,6.6,13.1,0.0225,480135,228.96,75254,Dallas-Fort Worth-Arlington,2023-12-20
Austin,2294,4,2.5,0.191,1987,37,9.0,21.6,0.0207,642266,279.98,78701,Austin-Round Rock-Georgetown,2023-11-26
San Antonio,3098,4,2.5,0.152,1965,59,7.4,13.9,0.022,517219,166.95,78250,San Antonio-New Braunfels,2023-08-18
Dallas,1460,2,2.0,0.228,1977,47,7.8,28.4,0.0222,265835,182.08,75225,Dallas-Fort Worth-Arlington,2024-06-30
San Antonio,1804,4,2.5,0.266,1977,47,7.4,21.1,0.0225,252799,140.13,78250,San Antonio-New Braunfels,2023-04-06
Houston,2143,3,2.0,0.879,1969,55,6.2,27.2,0.0241,329341,153.68,77002,Houston-The Woodlands-Sugar Land,2023-02-23
Fort Worth,3992,4,3.0,0.145,2021,3,6.6,22.7,0.0226,773267,193.7,76132,Dallas-Fort Worth-Arlington,2023-01-16
Fort Worth,2888,3,2.0,1.185,2019,5,7.5,14.0,0.0211,494121,171.09,76102,Dallas-Fort Worth-Arlington,2024-03-21
San Antonio,2582,2,1.5,0.225,1992,32,7.4,10.5,0.0214,356611,138.11,78258,San Antonio-New Braunfels,2023-08-11
Houston,2514,3,2.0,0.351,1997,27,5.9,17.0,0.0221,433882,172.59,77024,Houston-The Woodlands-Sugar Land,2023-08-28
Dallas,2418,5,5.0,0.973,1965,59,5.1,12.4,0.0214,501909,207.57,75205,Dallas-Fort Worth-Arlington,2023-12-22
Austin,1375,3,2.0,0.22,1972,52,8.2,17.8,0.022,430861,313.35,78701,Austin-Round Rock-Georgetown,2023-08-27
Austin,1698,3,2.5,0.059,2001,23,6.9,5.9,0.0215,527534,310.68,78745,Austin-Round Rock-Georgetown,2023-11-10
San Antonio,1694,3,3.0,0.362,1994,30,5.4,9.7,0.0225,250051,147.61,78201,San Antonio-New Braunfels,2023-02-01
San Antonio,1117,3,2.0,0.206,2000,24,5.5,12.2,0.0223,157164,140.7,78230,San Antonio-New Braunfels,2023-03-27
Fort Worth,2373,5,3.5,0.178,1993,31,7.5,27.1,0.0214,501289,211.25,76132,Dallas-Fort Worth-Arlington,2024-05-24
Houston,2817,3,2.0,0.139,1965,59,6.8,22.1,0.0229,406242,144.21,77007,Houston-The Woodlands-Sugar Land,2023-09-04
Houston,1344,4,4.0,0.246,1999,25,5.8,12.7,0.0232,242126,180.15,77007,Houston-The Woodlands-Sugar Land,2023-04-02
Dallas,2379,4,4.0,0.241,2001,23,5.9,9.5,0.0236,471048,198.0,75204,Dallas-Fort Worth-Arlington,2023-07-22
Houston,1535,4,3.5,0.136,2008,16,6.4,40.7,0.0222,231032,150.51,77007,Houston-The Woodlands-Sugar Land,2023-07-03
Austin,2520,3,3.0,0.07,1962,62,7.2,13.6,0.0227,699703,277.66,78701,Austin-Round Rock-Georgetown,2023-05-30
Dallas,1949,3,2.0,0.335,1991,33,5.8,21.3,0.0222,385216,197.65,75204,Dallas-Fort Worth-Arlington,2023-06-10
Houston,2477,5,5.0,0.254,1965,59,6.6,27.9,0.0238,481007,194.19,77024,Houston-The Woodlands-Sugar Land,2024-02-03
Dallas,1875,3,2.5,0.231,2018,6,5.9,24.7,0.0229,358176,191.03,75204,Dallas-Fort Worth-Arlington,2023-02-28
Houston,837,3,2.0,0.169,1972,52,4.4,40.8,0.023,127227,152.0,77056,Houston-The Woodlands-Sugar Land,2023-06-19
San Antonio,2118,3,2.0,0.356,2004,20,9.2,26.0,0.0209,325778,153.81,78250,San Antonio-New Braunfels,2023-09-13
San Antonio,2746,4,4.0,0.471,1978,46,7.6,57.9,0.0217,383533,139.67,78250,San Antonio-New Braunfels,2023-10-23
Houston,1915,2,1.5,0.05,2014,10,6.3,26.5,0.0225,322082,168.19,77024,Houston-The Woodlands-Sugar Land,2024-04-26
San Antonio,1957,5,4.0,0.384,1969,55,6.8,31.7,0.0226,322840,164.97,78209,San Antonio-New Braunfels,2024-05-20
San Antonio,2176,3,3.0,0.894,1986,38,6.2,19.7,0.0238,346464,159.22,78258,San Antonio-New Braunfels,2023-06-12
Houston,2107,3,2.0,0.062,1969,55,8.6,23.9,0.024,309755,147.01,77007,Houston-The Woodlands-Sugar Land,2023-10-22
Houston,1318,3,2.5,0.174,1960,64,6.9,60.0,0.0238,205995,156.29,77019,Houston-The Woodlands-Sugar Land,2023-01-13
San Antonio,2511,3,2.5,0.068,2008,16,6.3,24.0,0.0215,350583,139.62,78216,San Antonio-New Braunfels,2023-12-04
Austin,1543,3,2.5,0.266,1995,29,8.8,13.7,0.0217,448115,290.42,78748,Austin-Round Rock-Georgetown,2023-03-25
Houston,1089,3,3.0,0.483,1979,45,8.7,48.2,0.022,170953,156.98,77024,Houston-The Woodlands-Sugar Land,2023-02-10
Austin,2194,3,2.5,0.352,1966,58,7.6,9.0,0.0223,615410,280.5,78748,Austin-Round Rock-Georgetown,2024-01-03
San Antonio,1815,4,4.0,0.189,1966,58,3.6,20.6,0.0218,259721,143.1,78258,San Antonio-New Braunfels,2023-04-08
Dallas,1948,4,4.0,0.072,2005,19,6.6,25.3,0.0214,356014,182.76,75205,Dallas-Fort Worth-Arlington,2023-09-19
San Antonio,2383,3,3.0,0.072,2008,16,7.3,7.0,0.0228,341641,143.37,78258,San Antonio-New Braunfels,2023-02-25
San Antonio,1376,2,1.5,0.159,1985,39,7.2,12.8,0.0235,187179,136.03,78205,San Antonio-New Braunfels,2024-02-12
Houston,1703,4,4.0,0.139,1994,30,4.8,25.4,0.0226,232204,136.35,77079,Houston-The Woodlands-Sugar Land,2024-02-23
Dallas,1703,2,1.5,0.065,1997,27,5.5,31.4,0.0234,262582,154.19,75204,Dallas-Fort Worth-Arlington,2023-11-11
Austin,1571,3,3.0,0.059,2015,9,7.8,30.4,0.0211,488988,311.26,78748,Austin-Round Rock-Georgetown,2024-04-02
Austin,2669,3,3.0,0.178,2020,4,10.0,6.5,0.0225,860265,322.32,78703,Austin-Round Rock-Georgetown,2023-08-27
Dallas,2062,4,4.0,0.1,2011,13,7.5,29.6,0.0219,443100,214.89,75254,Dallas-Fort Worth-Arlington,2023-04-12
Dallas,2373,3,2.5,0.294,1973,51,10.0,14.9,0.0215,512412,215.93,75201,Dallas-Fort Worth-Arlington,2023-03-24
Dallas,2557,3,3.0,0.249,1963,61,6.2,14.7,0.0221,518254,202.68,75205,Dallas-Fort Worth-Arlington,2023-04-30
San Antonio,1626,3,2.0,0.11,1966,58,4.9,14.8,0.0213,201934,124.19,78258,San Antonio-New Braunfels,2023-04-20
Dallas,1585,3,2.5,0.268,1996,28,7.2,14.3,0.0216,317981,200.62,75201,Dallas-Fort Worth-Arlington,2023-06-26
Dallas,2383,4,3.0,0.053,2000,24,7.5,26.3,0.0217,558753,234.47,75204,Dallas-Fort Worth-Arlington,2023-04-28
Dallas,1535,4,2.5,0.169,1984,40,7.1,19.0,0.0228,340095,221.56,75201,Dallas-Fort Worth-Arlington,2023-11-20
Houston,2098,5,4.0,0.371,1971,53,5.9,38.0,0.0252,361497,172.31,77007,Houston-The Woodlands-Sugar Land,2023-03-23
Austin,984,3,2.5,0.251,2004,20,8.4,23.2,0.022,336930,342.41,78703,Austin-Round Rock-Georgetown,2023-12-07
Houston,2767,4,2.5,0.403,1993,31,6.4,16.3,0.0247,476383,172.17,77024,Houston-The Woodlands-Sugar Land,2023-07-02
Houston,2673,2,1.5,0.236,1995,29,8.5,29.0,0.0213,395631,148.01,77007,Houston-The Woodlands-Sugar Land,2024-01-11
Houston,3584,3,2.0,0.206,2019,5,4.6,56.7,0.0237,509910,142.27,77002,Houston-The Woodlands-Sugar Land,2023-10-08
San Antonio,1744,3,2.0,0.466,1970,54,7.2,18.1,0.0226,240913,138.14,78205,San Antonio-New Braunfels,2024-05-10
Houston,2873,4,3.0,0.338,1965,59,7.6,28.0,0.0234,471604,164.15,77079,Houston-The Woodlands-Sugar Land,2023-08-29
Austin,2406,4,3.0,0.149,1962,62,10.0,5.9,0.022,723302,300.62,78750,Austin-Round Rock-Georgetown,2023-06-11
Houston,2032,4,3.5,0.296,1991,33,6.3,7.7,0.0238,401476,197.58,77007,Houston-The Woodlands-Sugar Land,2023-11-19
Houston,3283,4,3.0,0.519,2016,8,8.8,38.8,0.0221,600280,182.84,77007,Houston-The Woodlands-Sugar Land,2023-12-27
Dallas,2281,3,2.0,0.704,1978,46,8.0,37.6,0.0222,417714,183.13,75201,Dallas-Fort Worth-Arlington,2023-08-29
Dallas,2242,3,2.0,0.385,1989,35,8.8,11.0,0.023,444451,198.24,75254,Dallas-Fort Worth-Arlington,2023-11-03
San Antonio,2159,4,3.0,0.246,1978,46,8.2,18.7,0.0231,315698,146.22,78230,San Antonio-New Braunfels,2023-09-15
Dallas,3821,3,2.0,0.069,2012,12,6.2,33.4,0.0223,586058,153.38,75230,Dallas-Fort Worth-Arlington,2023-06-17
Houston,2867,3,2.0,0.222,2013,11,7.0,39.7,0.0221,411417,143.5,77007,Houston-The Woodlands-Sugar Land,2023-06-21
San Antonio,1838,2,2.0,0.086,1996,28,7.5,11.8,0.0221,216472,117.78,78230,San Antonio-New Braunfels,2024-05-11
Austin,1549,3,2.0,0.113,1990,34,10.0,9.9,0.0208,562731,363.29,78701,Austin-Round Rock-Georgetown,2024-01-05
Austin,2024,3,2.5,0.405,1978,46,9.9,9.3,0.0215,669798,330.93,78745,Austin-Round Rock-Georgetown,2023-02-22
Austin,1413,3,2.0,0.357,2016,8,9.5,11.9,0.0213,489668,346.54,78745,Austin-Round Rock-Georgetown,2024-06-10
San Antonio,1636,3,2.0,0.131,1984,40,5.4,33.0,0.0223,240045,146.73,78209,San Antonio-New Braunfels,2024-01-25
Dallas,1714,4,4.0,0.095,2022,2,4.9,34.2,0.0212,343420,200.36,75230,Dallas-Fort Worth-Arlington,2023-01-28
Austin,1593,2,1.5,0.162,1995,29,8.6,8.5,0.0208,456740,286.72,78745,Austin-Round Rock-Georgetown,2024-02-03
Dallas,1302,4,3.0,0.142,1968,56,6.9,17.8,0.0213,274118,210.54,75205,Dallas-Fort Worth-Arlington,2023-11-19
Austin,2923,3,2.5,0.156,1989,35,8.5,30.6,0.022,753499,257.78,78702,Austin-Round Rock-Georgetown,2024-05-15
San Antonio,2234,3,2.0,0.425,2008,16,5.7,7.6,0.0226,276646,123.83,78201,San Antonio-New Braunfels,2023-09-25
Houston,1954,3,2.0,0.109,2006,18,5.6,21.3,0.0226,335178,171.53,77079,Houston-The Woodlands-Sugar Land,2023-10-11
Houston,2796,4,3.5,0.296,1993,31,5.8,33.8,0.0219,499129,178.52,77007,Houston-The Woodlands-Sugar Land,2023-06-22
Houston,2997,3,2.0,0.298,2003,21,3.4,25.6,0.0229,433244,144.56,77007,Houston-The Woodlands-Sugar Land,2023-06-25
Dallas,2472,4,3.5,0.165,1982,42,7.3,19.1,0.0222,556583,225.15,75230,Dallas-Fort Worth-Arlington,2023-12-05
Houston,1516,4,2.5,0.083,1982,42,7.0,16.4,0.0226,236382,155.92,77007,Houston-The Woodlands-Sugar Land,2024-03-28
Austin,1805,4,3.5,0.089,1964,60,6.5,33.2,0.021,543334,301.02,78703,Austin-Round Rock-Georgetown,2024-05-02
Austin,1683,4,4.0,0.787,2009,15,9.8,9.1,0.0221,598269,355.48,78745,Austin-Round Rock-Georgetown,2024-02-26
Fort Worth,1162,3,2.5,0.438,2006,18,6.4,18.4,0.0225,210881,181.48,76109,Dallas-Fort Worth-Arlington,2023-11-30
Fort Worth,1759,3,2.5,0.447,1978,46,5.6,27.5,0.0221,307003,174.53,76109,Dallas-Fort Worth-Arlington,2023-10-01
San Antonio,2533,5,5.0,0.17,2022,2,7.6,12.2,0.0218,400106,157.96,78201,San Antonio-New Braunfels,2023-07-05
Houston,3552,3,2.5,0.418,1989,35,7.5,19.5,0.0228,562272,158.3,77019,Houston-The Woodlands-Sugar Land,2024-02-25
Fort Worth,4364,2,1.0,0.309,2010,14,5.8,42.4,0.0211,670266,153.59,76107,Dallas-Fort Worth-Arlington,2023-06-24
San Antonio,2684,2,1.0,0.236,2009,15,6.4,12.0,0.0221,395054,147.19,78230,San Antonio-New Braunfels,2023-05-27
San Antonio,1887,5,4.0,0.453,2002,22,7.3,21.2,0.0222,337608,178.91,78205,San Antonio-New Braunfels,2024-04-19
Houston,1731,3,3.0,0.395,1967,57,5.6,14.3,0.0231,310018,179.1,77002,Houston-The Woodlands-Sugar Land,2023-11-19
Houston,1182,2,1.5,0.166,1975,49,6.0,18.3,0.0226,160073,135.43,77056,Houston-The Woodlands-Sugar Land,2023-07-13
Austin,1904,3,2.0,0.287,1965,59,9.0,21.3,0.02,584403,306.93,78745,Austin-Round Rock-Georgetown,2024-04-18
Fort Worth,2425,3,3.0,0.218,1968,56,9.2,52.4,0.0201,496058,204.56,76132,Dallas-Fort Worth-Arlington,2024-06-10
Houston,1595,5,4.0,0.129,1973,51,7.4,20.8,0.0236,300914,188.66,77007,Houston-The Woodlands-Sugar Land,2023-06-23
Houston,3006,3,3.0,0.452,2001,23,7.5,31.7,0.0223,456242,151.78,77079,Houston-The Woodlands-Sugar Land,2023-10-13
Houston,1771,3,2.0,0.42,2003,21,6.6,45.0,0.0244,274818,155.18,77007,Houston-The Woodlands-Sugar Land,2023-09-22
Dallas,1562,5,4.0,0.194,1960,64,6.8,11.5,0.0205,357817,229.08,75225,Dallas-Fort Worth-Arlington,2024-01-19
Austin,1502,3,2.5,0.085,2004,20,8.7,30.1,0.0216,481090,320.3,78702,Austin-Round Rock-Georgetown,2024-06-04
San Antonio,1121,3,3.0,0.075,1965,59,6.6,5.2,0.0212,156405,139.52,78258,San Antonio-New Braunfels,2023-10-28
San Antonio,1519,3,3.0,0.4,1986,38,7.4,28.3,0.0225,225243,148.28,78209,San Antonio-New Braunfels,2024-03-12
San Antonio,2273,3,2.5,0.192,2018,6,5.5,19.8,0.0224,306326,134.77,78250,San Antonio-New Braunfels,2023-11-22
Houston,1721,3,3.0,0.245,1997,27,5.8,33.0,0.0224,239789,139.33,77007,Houston-The Woodlands-Sugar Land,2024-04-30
Dallas,2716,3,2.0,0.185,2001,23,8.6,18.2,0.0208,557867,205.4,75230,Dallas-Fort Worth-Arlington,2023-08-10
Dallas,1729,4,3.5,0.05,2016,8,7.6,47.6,0.0236,401032,231.94,75205,Dallas-Fort Worth-Arlington,2023-07-30
Dallas,1472,2,2.0,0.206,1995,29,5.7,13.0,0.0213,277065,188.22,75201,Dallas-Fort Worth-Arlington,2023-08-20
Austin,2415,3,2.0,0.149,1990,34,7.2,21.6,0.0227,769136,318.48,78702,Austin-Round Rock-Georgetown,2024-06-29
Houston,1674,3,2.0,0.549,2007,17,6.3,15.1,0.0246,296715,177.25,77056,Houston-The Woodlands-Sugar Land,2023-12-01
Austin,1913,3,2.0,0.206,2016,8,10.0,17.3,0.0222,682339,356.69,78702,Austin-Round Rock-Georgetown,2023-03-25
Dallas,1408,3,2.5,0.148,1975,49,4.2,6.2,0.021,264496,187.85,75204,Dallas-Fort Worth-Arlington,2023-01-23
Houston,2172,3,3.0,0.109,2015,9,6.8,25.6,0.0223,360046,165.77,77024,Houston-The Woodlands-Sugar Land,2023-10-11
Austin,1175,5,3.0,0.609,2005,19,8.1,23.4,0.0214,411884,350.54,78702,Austin-Round Rock-Georgetown,2024-03-16
Austin,1594,4,3.0,0.112,1988,36,7.9,10.3,0.0238,531248,333.28,78701,Austin-Round Rock-Georgetown,2023-09-20
Dallas,3179,4,2.5,0.081,2010,14,6.7,20.0,0.0236,653674,205.62,75225,Dallas-Fort Worth-Arlington,2023-11-03
Austin,2877,3,2.0,0.174,1975,49,10.0,11.0,0.0207,826503,287.28,78745,Austin-Round Rock-Georgetown,2024-03-12
Fort Worth,3984,3,2.0,0.495,1961,63,7.8,53.5,0.0203,618217,155.17,76109,Dallas-Fort Worth-Arlington,2023-10-10
Dallas,1740,4,2.5,0.153,1998,26,8.1,58.6,0.0216,317632,182.55,75254,Dallas-Fort Worth-Arlington,2024-05-12
Houston,2176,3,3.0,0.16,1973,51,8.1,26.6,0.021,320427,147.26,77002,Houston-The Woodlands-Sugar Land,2023-12-15
Dallas,3137,2,1.0,0.163,1965,59,7.2,26.0,0.0206,480843,153.28,75205,Dallas-Fort Worth-Arlington,2024-02-04
Austin,2062,4,2.5,0.086,2003,21,8.5,24.2,0.022,678556,329.08,78702,Austin-Round Rock-Georgetown,2024-03-03
Fort Worth,1923,4,3.5,0.498,2002,22,6.9,12.8,0.0213,383066,199.2,76132,Dallas-Fort Worth-Arlington,2023-12-09
Dallas,1787,3,3.0,0.307,1981,43,8.9,29.6,0.0211,327424,183.23,75225,Dallas-Fort Worth-Arlington,2023-01-28
San Antonio,1906,4,3.5,0.18,2020,4,5.9,11.4,0.0222,334580,175.54,78201,San Antonio-New Braunfels,2023-08-22
Austin,2017,4,3.5,0.151,1963,61,8.1,15.9,0.0219,775983,384.72,78745,Austin-Round Rock-Georgetown,2023-03-19
Dallas,1552,4,3.0,0.07,2000,24,8.1,33.9,0.0211,316608,204.0,75201,Dallas-Fort Worth-Arlington,2023-10-07
Dallas,1191,3,3.0,0.136,1967,57,5.9,20.2,0.0215,211180,177.31,75204,Dallas-Fort Worth-Arlington,2023-03-20
Fort Worth,2471,5,3.0,0.257,2021,3,8.2,37.1,0.0211,531815,215.22,76109,Dallas-Fort Worth-Arlington,2023-10-06
Dallas,1580,2,2.0,0.399,1998,26,6.4,49.3,0.0226,240718,152.35,75225,Dallas-Fort Worth-Arlington,2023-07-08
Dallas,1709,4,3.5,0.173,1983,41,7.3,26.3,0.0221,313783,183.61,75230,Dallas-Fort Worth-Arlington,2023-01-12
Houston,1645,2,2.0,0.617,1965,59,7.7,25.4,0.0237,231781,140.9,77024,Houston-The Woodlands-Sugar Land,2023-03-10
Houston,2005,3,2.5,0.286,2004,20,7.0,31.0,0.0235,327917,163.55,77079,Houston-The Woodlands-Sugar Land,2023-10-03
Dallas,2363,4,3.0,0.116,2019,5,7.6,25.1,0.0213,498683,211.04,75225,Dallas-Fort Worth-Arlington,2023-02-13
Houston,1741,3,3.0,0.5,1966,58,8.1,28.8,0.025,279572,160.58,77002,Houston-The Woodlands-Sugar Land,2024-04-13
Austin,4717,2,2.0,0.142,1977,47,8.5,21.3,0.0214,1529473,324.25,78701,Austin-Round Rock-Georgetown,2024-02-20
San Antonio,2095,4,4.0,0.301,2003,21,6.3,11.8,0.0217,413593,197.42,78250,San Antonio-New Braunfels,2024-01-23
Fort Worth,1829,2,1.5,0.227,1970,54,7.7,26.4,0.0225,270698,148.0,76102,Dallas-Fort Worth-Arlington,2023-04-05
Austin,2104,3,3.0,0.104,2018,6,6.7,23.8,0.0222,698955,332.2,78703,Austin-Round Rock-Georgetown,2024-03-11
Dallas,2023,3,2.0,0.302,2022,2,7.4,24.6,0.0224,360404,178.15,75201,Dallas-Fort Worth-Arlington,2023-12-14
Austin,1212,3,2.0,0.272,1996,28,6.5,8.6,0.0208,356426,294.08,78703,Austin-Round Rock-Georgetown,2023-08-02
Dallas,1329,3,2.5,0.19,1972,52,5.8,17.0,0.0231,217659,163.78,75225,Dallas-Fort Worth-Arlington,2023-01-01
Houston,1973,4,3.5,0.166,2005,19,8.2,18.9,0.0241,374712,189.92,77007,Houston-The Woodlands-Sugar Land,2023-10-17
Dallas,1804,2,1.0,0.332,1977,47,6.5,18.4,0.0219,318870,176.76,75205,Dallas-Fort Worth-Arlington,2024-03-11
San Antonio,1433,3,2.5,0.106,1982,42,7.9,48.9,0.0235,214379,149.6,78258,San Antonio-New Braunfels,2023-01-19
San Antonio,2000,3,3.0,0.273,1990,34,5.8,10.1,0.0224,306164,153.08,78201,San Antonio-New Braunfels,2023-01-29
Austin,1228,2,1.5,0.094,1998,26,9.1,11.0,0.022,396072,322.53,78701,Austin-Round Rock-Georgetown,2023-07-29
Fort Worth,2473,2,1.0,0.456,2007,17,6.0,22.8,0.0221,397397,160.69,76107,Dallas-Fort Worth-Arlington,2023-10-07
Houston,2323,4,3.5,0.395,1998,26,7.0,39.1,0.023,354528,152.62,77056,Houston-The Woodlands-Sugar Land,2023-09-17
Austin,2538,3,3.0,0.122,1961,63,10.0,9.0,0.0212,837720,330.07,78703,Austin-Round Rock-Georgetown,2023-08-22
Dallas,1441,3,2.0,0.134,1981,43,7.7,4.6,0.022,272887,189.37,75225,Dallas-Fort Worth-Arlington,2023-05-20
Houston,1642,3,3.0,0.21,2009,15,6.3,8.4,0.0219,297148,180.97,77002,Houston-The Woodlands-Sugar Land,2023-02-02
San Antonio,1035,3,2.5,0.666,1995,29,7.4,12.1,0.0238,146526,141.57,78250,San Antonio-New Braunfels,2023-01-18
San Antonio,2639,3,2.0,0.183,1980,44,5.3,14.4,0.0228,342960,129.96,78201,San Antonio-New Braunfels,2023-02-24
Houston,2479,2,2.0,0.305,2014,10,6.7,17.6,0.0232,397720,160.44,77056,Houston-The Woodlands-Sugar Land,2024-01-13
Fort Worth,3675,5,3.0,1.493,1978,46,7.6,25.5,0.0225,677741,184.42,76102,Dallas-Fort Worth-Arlington,2024-03-05
Houston,1838,5,4.0,0.211,1988,36,7.0,37.9,0.0239,328479,178.72,77079,Houston-The Woodlands-Sugar Land,2023-08-26
Dallas,1635,5,5.0,0.069,1964,60,6.8,19.6,0.0228,389770,238.39,75204,Dallas-Fort Worth-Arlington,2023-02-12
Houston,2286,4,2.5,0.156,2016,8,6.5,22.2,0.023,331094,144.84,77007,Houston-The Woodlands-Sugar Land,2023-08-16
Fort Worth,1757,3,2.5,0.202,1992,32,7.6,11.7,0.0202,306770,174.6,76107,Dallas-Fort Worth-Arlington,2024-06-23
Austin,2389,4,3.0,0.075,2015,9,7.8,15.9,0.0217,843464,353.06,78701,Austin-Round Rock-Georgetown,2023-05-17
Austin,1443,4,3.5,0.295,2019,5,7.1,11.8,0.0188,475815,329.74,78702,Austin-Round Rock-Georgetown,2023-09-26
Houston,1794,3,2.5,0.226,1980,44,4.1,24.5,0.0221,274311,152.9,77024,Houston-The Woodlands-Sugar Land,2023-10-22
Fort Worth,1347,4,2.5,0.281,1981,43,7.1,17.6,0.0203,216828,160.97,76107,Dallas-Fort Worth-Arlington,2023-06-30
Fort Worth,1661,2,1.0,0.341,1962,62,6.7,12.3,0.0215,258345,155.54,76107,Dallas-Fort Worth-Arlington,2023-08-28
San Antonio,2149,3,2.5,0.224,2010,14,7.0,15.8,0.022,278672,129.68,78250,San Antonio-New Braunfels,2023-09-16
Fort Worth,1698,3,3.0,0.145,2021,3,5.7,26.8,0.0224,274946,161.92,76102,Dallas-Fort Worth-Arlington,2023-09-17
Fort Worth,1831,4,3.0,0.297,2018,6,8.0,14.0,0.0229,320125,174.84,76107,Dallas-Fort Worth-Arlington,2024-01-28
Dallas,1375,4,2.5,0.144,2007,17,9.2,23.0,0.022,240839,175.16,75204,Dallas-Fort Worth-Arlington,2023-11-14
Houston,1144,3,2.5,0.121,2012,12,6.9,23.3,0.0239,188334,164.63,77019,Houston-The Woodlands-Sugar Land,2023-01-30
San Antonio,2818,2,1.5,0.443,2001,23,5.3,60.0,0.0229,333992,118.52,78209,San Antonio-New Braunfels,2023-01-04
Dallas,2341,5,4.5,0.069,2005,19,8.9,15.2,0.0221,507606,216.83,75201,Dallas-Fort Worth-Arlington,2023-08-13
Houston,2459,3,3.0,0.197,2008,16,9.1,59.3,0.023,402880,163.84,77002,Houston-The Woodlands-Sugar Land,2024-05-11
Austin,1698,3,3.0,0.14,1969,55,9.3,10.7,0.0215,479868,282.61,78748,Austin-Round Rock-Georgetown,2023-01-21
San Antonio,2408,4,3.0,0.563,2010,14,5.5,18.0,0.0216,362927,150.72,78201,San Antonio-New Braunfels,2023-02-08
Houston,2647,4,3.0,0.106,1974,50,5.1,28.1,0.0251,466634,176.29,77056,Houston-The Woodlands-Sugar Land,2024-01-07
Fort Worth,1121,4,3.5,0.093,1995,29,6.6,34.6,0.0224,183379,163.59,76132,Dallas-Fort Worth-Arlington,2023-09-04
Houston,2522,4,3.0,0.463,1992,32,6.8,17.1,0.0239,473333,187.68,77019,Houston-The Woodlands-Sugar Land,2023-05-07
Austin,2814,4,2.5,0.279,1990,34,8.4,14.6,0.0213,842011,299.22,78703,Austin-Round Rock-Georgetown,2023-04-24
San Antonio,1464,3,2.5,0.555,1984,40,6.4,26.4,0.0236,200689,137.08,78250,San Antonio-New Braunfels,2023-12-30
Austin,2271,3,2.5,0.264,2006,18,6.7,15.2,0.0231,688375,303.12,78750,Austin-Round Rock-Georgetown,2023-10-14
Austin,2173,4,2.5,0.245,1980,44,6.4,10.2,0.0226,707239,325.47,78701,Austin-Round Rock-Georgetown,2023-12-16
Dallas,1825,3,2.0,0.181,1968,56,8.0,12.5,0.022,337952,185.18,75254,Dallas-Fort Worth-Arlington,2023-06-03
Fort Worth,1230,3,2.0,0.295,1974,50,5.4,9.3,0.0217,228456,185.74,76132,Dallas-Fort Worth-Arlington,2023-10-15
Houston,1985,3,2.5,0.31,1970,54,5.2,35.2,0.0227,312339,157.35,77002,Houston-The Woodlands-Sugar Land,2024-04-15
Houston,1644,4,3.0,0.213,1995,29,7.3,19.3,0.0224,324137,197.16,77002,Houston-The Woodlands-Sugar Land,2023-06-23
